,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,WORDS,DIVERSITY,LENGTH,VERB,NOUN,ADP,.,ADJ,ADV,CONJ,PRON,PRT,NUM,X,Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Year,Awards,Runtime,Poster,imdbVotes,imdbID,Actors1,Actors2,Genre1,Genre2
Behind the Mask The Rise of Leslie Vernon 2006.txt,0.9236111991,0.837285264351,0.2755204062,0.495315093484,0.644906648047,0.320728668151,0.193473865359,0.803679218514,0.0150428821999,0.976854604572,0.999160593338,0.050522550847,0.897369316126,0.114385963847,0.262287350195,0.99487920924,0.244007775183,0.989372383231,0.97387091589,0.780899696844,0.278442571965,0.0119250284763,0.98099909659,0.117762523957,0.659733778966,0.214969364225,0.0575934515132,0.0563771828982,0.370727100403,0.214764221432,7657.0,0.174089068826,3.5065952723,0.202951547604,0.167559096252,0.0769230769231,0.189891602455,0.0339558573854,0.05197858169,0.0304296721954,0.120020895912,0.0265116886509,0.00705237038004,0.00261198902965,The next great psycho horror slasher has given a documentary crew exclusive access to his life as he plans his reign of terror over the sleepy town of Glen Echo.,R,True,English,Behind the Mask: The Rise of Leslie Vernon,USA,"Scott Glosserman, David J. Stieve",66.0,6.8,Scott Glosserman,13 Oct 2006,2006,5 wins & 3 nominations.,92,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5MDE3MTQxOV5BMl5BanBnXkFtZTcwNDY0NzA0MQ@@._V1_SX300.jpg,"17,333",tt0437857,Nathan Baesel, Angela Goethals,Comedy, Horror
So Dear to My Heart 1948.txt,0.2422453256,0.600273902461,0.148149155767,0.870152066954,0.362101166647,0.171283277283,0.103580266104,0.55086337897,0.234293782533,0.80425371714,0.965469431852,0.0269786077221,0.456645522751,0.0779408626339,0.602519049158,0.864268236974,0.545685415857,0.797151387085,0.502124908367,0.419322497562,0.620683260248,0.468129575337,0.918635646396,0.428043747483,0.773847373959,0.232780961314,0.174976001963,0.0824267611574,0.656497411815,0.272797494399,9554.0,0.170295164329,3.2908729328,0.179401297886,0.198346242412,0.0664643081432,0.17793594306,0.0502407368641,0.0677203265648,0.0231316725979,0.119845091061,0.0317144651455,0.00722210592422,0.00701276952062,This heartwarming classic tells the tale of a country boy who adopts a mischevious black lamb and learns valuable lessons about love and dedication.,PASSED,True,English,So Dear to My Heart,USA,"John Tucker Battle (screenplay), Maurice Rapf (adaptation), Ted Sears (adaptation), Sterling North (novel), Marc Davis (cartoon story treatment), Ken Anderson (cartoon story treatment), Bill Peet (cartoon story treatment)",,7.2,"Harold D. Schuster, Hamilton Luske",19 Jan 1949,1948,,79,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1NTAyNDg5NF5BMl5BanBnXkFtZTcwNTc2ODcxMQ@@._V1_SX300.jpg,908,tt0041890,Burl Ives, Beulah Bondi,Animation, Drama
Barbie and the Diamond Castle 2008.txt,0.732486790987,0.934898493671,0.252688387527,0.497742850869,0.326123898144,0.0941510386569,0.223321399676,0.69468629094,0.188313620523,0.863496404807,0.998384133476,0.122732349738,0.9312600844,0.371577353322,0.398401746898,0.960728637334,0.525282558983,0.994965164266,0.920191794672,0.304492144776,0.840274370155,0.466957504937,0.883266109977,0.290721616636,0.959226980062,0.454244557798,0.0536769464263,0.247392460479,0.789328446052,0.415037967991,6821.0,0.163612373552,3.31681571617,0.206714557983,0.162732737135,0.0542442457118,0.187069344671,0.0379709719982,0.0746224893711,0.0206714557983,0.148805160534,0.0224307286322,0.00908957630846,0.0109954552118,"Two best friends, Liana and Alexa, embark on a journey to find the Diamond Castle! With the help of music, the girls overcome challenges that show friendship is the true treasure.",,True,English,Barbie and the Diamond Castle,USA,"Elana Lesser (screenwriter), Cliff Ruby (screenwriter)",,6.1,Gino Nichele,09 Sep 2008,2008,1 win.,79,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MDgwNDk2OV5BMl5BanBnXkFtZTgwMTM4MjA2MDE@._V1_SX300.jpg,"1,173",tt1294138,Kelly Sheridan, Melissa Lyons,Animation, Family
Ghost in a Teeny Bikini 2006.txt,0.649047492034,0.869905644346,0.656152835473,0.250056176809,0.443797717004,0.133553329167,0.155248785073,0.356196873803,0.196426767571,0.74291118975,0.983623530864,0.311633931838,0.773839548713,0.500393500579,0.533272546311,0.971886433223,0.134276173626,0.971429479913,0.824408650819,0.246472088685,0.662686783361,0.0526746415279,0.990915355963,0.620942821072,0.912922042844,0.647369051429,0.0915064189771,0.194597295829,0.312887060682,0.743234472362,5187.0,0.228455754772,3.41758241758,0.192596876807,0.175824175824,0.0609215346057,0.19683824947,0.0462695199537,0.073645652593,0.0200501253133,0.123770965876,0.0304607673029,0.00424137266243,0.00713321765953,"A B-movie actress and her director boyfriend go to the spooky mansion of her rich uncle for the reading of his will, while her uncle's scheming lawyer and a sexy, playful female ghost vie to control the inheritance.",NOT RATED,True,English,Ghost in a Teeny Bikini,USA,"Fred Olen Ray, Jeff O'Brien (additional dialogue), David A. Lloyd (additional dialogue), Brett Kelly (additional dialogue)",,4.3,Fred Olen Ray,,2006,,84,http://ia.media-imdb.com/images/M/MV5BMTU1NjI1Njc3OF5BMl5BanBnXkFtZTcwMDYwOTEzMg@@._V1_SX300.jpg,406,tt0861773,Christine Nguyen, Nicole Sheridan,Comedy, Musical
Kit Kittredge An American Girl 2008.txt,0.607728247631,0.896867644984,0.146415353089,0.576004825595,0.486673583667,0.102987428195,0.277137909334,0.718551576214,0.0615558102772,0.910444646646,0.997039738553,0.0611412368272,0.642605331802,0.239011513556,0.421083156619,0.901958620147,0.642223264545,0.984599095957,0.724629687943,0.344074777338,0.725707933325,0.486417551862,0.765243229106,0.0411010201609,0.624936526699,0.299414357811,0.111644012771,0.157112583725,0.65125359778,0.21270203883,12129.0,0.171984499959,3.40135213126,0.180476543821,0.197543078572,0.0516118393932,0.224833044769,0.0478192761151,0.0571357902548,0.0156649352791,0.122516283288,0.0258059196966,0.0064308681672,0.0100585373897,"Set in Cincinnati at the height of the Great Depression, Kit Kittredge, a resourceful young girl, helps her mother run a boardinghouse after her father loses his job.",G,True,English,Kit Kittredge: An American Girl,"USA, Canada","Ann Peacock, Valerie Tripp (Kit Kittredge stories)",63.0,6.6,Patricia Rozema,02 Jul 2008,2008,2 wins & 5 nominations.,101,http://ia.media-imdb.com/images/M/MV5BMTIxOTExNTU2OF5BMl5BanBnXkFtZTcwMDAwODU2MQ@@._V1_SX300.jpg,"4,743",tt0846308,Abigail Breslin, Julia Ormond,Drama, Family
Removal 2010.txt,0.39213220795,0.673423998069,0.47767934873,0.223134928557,0.272721837573,0.131510133174,0.175573817233,0.304473703385,0.34381043539,0.578229795336,0.941308221394,0.245705312301,0.667658359358,0.517605327597,0.547358062787,0.719348786233,0.259631589595,0.912614338196,0.63626716698,0.354529963124,0.7028706745,0.268922232013,0.891250626878,0.350819303802,0.72500133648,0.645175190724,0.139706807691,0.131226610454,0.584524454576,0.525452011194,8641.0,0.160861011457,3.14118736257,0.106932068048,0.537669251244,0.019905103576,0.207267677352,0.0113412799445,0.0134243721791,0.0074065501678,0.0548547621803,0.0156231917602,0.00393472977665,0.00381900243027,Gothic horror meets industrial-strength cleaning products in this spine-tingler about a pill-popping cleaning service employee and a sprawling mansion with secrets of its own.,R,True,English,Removal,USA,"Daniel Meersand, Oz Perkins, Nick Simon",,4.8,Nick Simon,07 Nov 2010,2010,,91,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0MzkwNTU4OF5BMl5BanBnXkFtZTcwMjEyOTg4OA@@._V1_SX300.jpg,806,tt1493828,Billy Burke, Mark Kelly,Thriller,Thriller
Buck 2011.txt,0.578593714011,0.770996955057,0.590571665662,0.189652627257,0.365963098995,0.073010353955,0.12823446792,0.220700134158,0.157301688317,0.718580225094,0.973808164222,0.197140799951,0.782425654002,0.426994176977,0.880346332165,0.943382492314,0.12735945713,0.952640314064,0.817624571456,0.352500582937,0.489161218768,0.0872909198644,0.968910905877,0.38510796772,0.703216126573,0.692710911949,0.0976338189809,0.165338784588,0.322809440476,0.744306161717,15341.0,0.125350368294,3.2914412359,0.201746952611,0.147122091128,0.0827846946092,0.156508702171,0.0442604784564,0.0750277035395,0.0310279642787,0.138908806466,0.0346131282185,0.00560589270582,0.00410664233101,"An examination of the life of acclaimed 'horse whisperer' Buck Brannaman, who recovered from years of child abuse to become a well-known expert in the interactions between horses and people.",PG,True,English,Buck,USA,,76.0,7.6,Cindy Meehl,16 Feb 2012,2011,10 wins & 12 nominations.,88,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NDgxNDkyMl5BMl5BanBnXkFtZTcwODIxOTMxNQ@@._V1_SX300.jpg,"2,748",tt1753549,Buck Brannaman, Gary Myers,Documentary,Documentary
The Challenger Disaster 2013.txt,0.740203699851,0.864955251287,0.399492717685,0.484658209219,0.798489026056,0.642248590972,0.592718322118,0.72664530164,0.0894038383944,0.981436695506,0.936807451092,0.0439610850341,0.421277727567,0.0905842863267,0.261544152602,0.872375730054,0.343831746837,0.588315006805,0.660101797754,0.718665617966,0.903629363127,0.0728811940678,0.998392757895,0.258387639911,0.667061247616,0.337028424581,0.0573443860192,0.642837872744,0.192852744012,0.928248610356,10533.0,0.19063894427,3.65309028767,0.182664008355,0.196430266781,0.0793696003038,0.173359916453,0.0487040729137,0.0534510585778,0.0171840881041,0.109085730561,0.0294313111174,0.0105383081743,0.00787999620241,Factual drama exploring the truth behind the space shuttle Challenger's 1986 disintegration.,,True,English,The Challenger Disaster,"UK, USA",Kate Gartside,,7.3,James Hawes,16 Nov 2013,2013,1 win & 2 nominations.,90,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMDY4MTQ1M15BMl5BanBnXkFtZTgwOTk5MjY2MDE@._V1_SX300.jpg,"3,296",tt2421662,Joanne Whalley, Kevin McNally,Drama,Drama
United 93 2006.txt,0.660699535997,0.748643679444,0.0304643950308,0.831765331863,0.746069629378,0.532798416597,0.564359500995,0.952017021676,0.0810675166068,0.95453601514,0.982540924878,0.00491270218768,0.2034274339,0.0102756882327,0.175992360616,0.415765438486,0.833692775194,0.767330448928,0.276537788082,0.758010196404,0.880805726826,0.605458350678,0.909724666752,0.0252147350706,0.291631941774,0.116032553342,0.0754195007372,0.320989997927,0.697403083754,0.288061349918,16373.0,0.108837720638,3.3466072192,0.18811457888,0.188053502718,0.0614426189458,0.201856715324,0.0377450680999,0.0543577841568,0.0134367556343,0.121052953032,0.0280339583461,0.0214988090148,0.0111158614793,"A real-time account of the events on United Flight 93, one of the planes hijacked on September 11th, 2001 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.",R,True,English,United 93,"USA, UK, France",Paul Greengrass,90.0,7.6,Paul Greengrass,28 Apr 2006,2006,Nominated for 2 Oscars. Another 27 wins & 46 nominations.,111,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1Nzc3NjAwOF5BMl5BanBnXkFtZTcwNzYzMjYzMQ@@._V1_SX300.jpg,"84,359",tt0475276,J.J. Johnson, Gary Commock,Drama, History
Far from the Madding Crowd 1998.txt,0.808321980785,0.86698747197,0.308712363285,0.356660575487,0.657382528194,0.239962972528,0.258931053459,0.734528558394,0.0621962527502,0.911950524596,0.995536564701,0.0905240570408,0.665142337084,0.213147560997,0.344612987024,0.94399485105,0.361479244868,0.982626721178,0.828495634903,0.527808222742,0.524602052989,0.0800746996937,0.980266290247,0.0786415314969,0.650031571795,0.292541641561,0.0708877634155,0.113416584178,0.496933792676,0.219053650215,16144.0,0.128778493558,3.24405351833,0.202923686819,0.177898909812,0.0537661050545,0.213330029732,0.0392096134787,0.0638627353816,0.0177155599604,0.130574826561,0.0237239841427,0.00613230921705,0.0086100099108,"In Victorian England, the independent and headstrong Bathsheba Everdene attracts three very different suitors: Gabriel Oak, a sheep farmer; Frank Troy, a reckless Sergeant; and William Boldwood, a prosperous and mature bachelor.",PG-13,True,English,Far from the Madding Crowd,"UK, USA","Thomas Hardy (based on the novel by), David Nicholls (screenplay)",71.0,7.1,Thomas Vinterberg,22 May 2015,2015,6 nominations.,119,https://images-na.ssl-images-amazon.com/images/M/MV5BNzI4NzUwNDgwN15BMl5BanBnXkFtZTgwNTI3MjMwNTE@._V1_SX300.jpg,"30,858",tt2935476,Carey Mulligan, Matthias Schoenaerts,Drama, Romance
