,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Words,DiversityW,WordL,VERB,NOUN,ADP,.,ADJ,ADV,CONJ,PRON,PRT,NUM,X,Plot,Poster,Rated,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Year,Awards,Runtime,imdbVotes,imdbID,Actors1,Actors2,Genre1,Genre2
Anegan,0.191801917475,0.279898054505,0.225957394564,0.447159381298,0.272945576347,0.333310189661,0.351606916923,0.313566731638,0.494306427295,0.170884410057,0.847213652742,0.333275404319,0.859499737715,0.479155040073,0.459354042411,0.934594433856,0.648281380672,0.808415239548,0.798924921454,0.606226060846,0.775301059573,0.370170951363,0.845033465875,0.659238801763,0.694871115982,0.662846570165,0.694469452669,0.0757155987395,0.583060494166,0.179030719387,13981.0,0.214147771976,3.79522208712,0.190901938345,0.257134682784,0.0713825906588,0.103926757743,0.0520706673342,0.0603676417996,0.0183820899793,0.141048565911,0.0281095772835,0.00593662828124,0.0,A story about Love that travels across eras.,http://ia.media-imdb.com/images/M/MV5BMTQ3MzgwODc1Nl5BMl5BanBnXkFtZTgwMjk4NzI0NjE@._V1_SX300.jpg,N/A,Tamil,Anegan,N/A,"A.N. Balakrishnan (dialogue), A.N. Balakrishnan (story and screenplay), Anand K.V. (story and screenplay), D. Suresh (dialogue), D. Suresh (screenplay), D. Suresh (story and screenplay)",N/A,6.9,Anand K.V.,12 Feb 2015,2015,1 nomination.,154,"1,878",tt2002868,Dhanush,Karthik,Romance,Thriller
Barbie and the Diamond Castle,0.732486790987,0.934898493671,0.252688387527,0.497742850869,0.326123898144,0.0941510386569,0.223321399676,0.69468629094,0.188313620523,0.863496404807,0.998384133476,0.122732349738,0.9312600844,0.371577353322,0.398401746898,0.960728637334,0.525282558983,0.994965164266,0.920191794672,0.304492144776,0.840274370155,0.466957504937,0.883266109977,0.290721616636,0.959226980062,0.454244557798,0.0536769464263,0.247392460479,0.789328446052,0.415037967991,6821.0,0.163612373552,3.31681571617,0.206714557983,0.162732737135,0.0542442457118,0.187069344671,0.0379709719982,0.0746224893711,0.0206714557983,0.148805160534,0.0224307286322,0.00908957630846,0.0,"Two best friends, Liana and Alexa, embark on a journey to find the Diamond Castle! With the help of music, the girls overcome challenges that show friendship is the true treasure.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MDgwNDk2OV5BMl5BanBnXkFtZTgwMTM4MjA2MDE@._V1_SX300.jpg,N/A,English,Barbie and the Diamond Castle,USA,"Elana Lesser (screenwriter), Cliff Ruby (screenwriter)",N/A,6.1,Gino Nichele,09 Sep 2008,2008,1 win.,79,"1,173",tt1294138,Kelly Sheridan,Melissa Lyons,Animation,Family
Ghost in a Teeny Bikini,0.649047492034,0.869905644346,0.656152835473,0.250056176809,0.443797717004,0.133553329167,0.155248785073,0.356196873803,0.196426767571,0.74291118975,0.983623530864,0.311633931838,0.773839548713,0.500393500579,0.533272546311,0.971886433223,0.134276173626,0.971429479913,0.824408650819,0.246472088685,0.662686783361,0.0526746415279,0.990915355963,0.620942821072,0.912922042844,0.647369051429,0.0915064189771,0.194597295829,0.312887060682,0.743234472362,5187.0,0.228455754772,3.41758241758,0.192596876807,0.175824175824,0.0609215346057,0.19683824947,0.0462695199537,0.073645652593,0.0200501253133,0.123770965876,0.0304607673029,0.00424137266243,0.0,"A B-movie actress and her director boyfriend go to the spooky mansion of her rich uncle for the reading of his will, while her uncle's scheming lawyer and a sexy, playful female ghost vie to control the inheritance.",http://ia.media-imdb.com/images/M/MV5BMTU1NjI1Njc3OF5BMl5BanBnXkFtZTcwMDYwOTEzMg@@._V1_SX300.jpg,NOT RATED,English,Ghost in a Teeny Bikini,USA,"Fred Olen Ray, Jeff O'Brien (additional dialogue), David A. Lloyd (additional dialogue), Brett Kelly (additional dialogue)",N/A,4.3,Fred Olen Ray,N/A,2006,N/A,84,406,tt0861773,Christine Nguyen,Nicole Sheridan,Comedy,Musical
Daens,0.460971564517,0.52522233154,0.2379434552,0.466926619735,0.604045119572,0.458463810669,0.534566353678,0.539573355448,0.13751321218,0.735261796899,0.958534278262,0.131857414937,0.739481227086,0.19289116094,0.26039213588,0.989313386387,0.45829082223,0.852424396889,0.900111037392,0.83400712586,0.644643393433,0.154937393488,0.987729539072,0.305983102536,0.839750252607,0.506162669968,0.280358319897,0.159705802501,0.271159292907,0.342404553374,10961.0,0.178085941064,3.49876836055,0.191953288933,0.186935498586,0.0691542742451,0.192956847003,0.0434266946446,0.06066964693,0.0197974637351,0.122525317033,0.0284645561536,0.00748106924551,0.0,"In the 1890s, Father Adolf Daens goes to Aalst, a textile town where child labor is rife, pay and working conditions are horrible, the poor have no vote, and the Catholic church backs the ...",http://ia.media-imdb.com/images/M/MV5BMTUxNTgzOTE1OV5BMl5BanBnXkFtZTcwNDI3MzIyMQ@@._V1_SX300.jpg,N/A,Flemish,Daens,Belgium,"Louis Paul Boon (novel), François Chevallier, Stijn Coninx, Addy Weijers (scenario consultant)",N/A,7.7,Stijn Coninx,25 Feb 1993,1992,Nominated for 1 Oscar. Another 7 wins & 1 nomination.,138,"3,084",tt0104046,Jan Decleir,Gérard Desarthe,Biography,Drama
Ziggy Stardust and the Spiders from Mars,0.0701813337039,0.422937775246,0.430127635458,0.804842909746,0.0853159282959,0.0783090669931,0.0718869294437,0.110738631937,0.757136976178,0.44760026965,0.433063262514,0.356517757089,0.572944881847,0.448813510717,0.696162243489,0.70998483585,0.351635420753,0.550953441896,0.244652279975,0.0941920334017,0.812304378255,0.48966253373,0.917295239053,0.94804104078,0.974323882938,0.560739224327,0.414570114649,0.328993528167,0.749219622344,0.888884878553,6373.0,0.201318060568,3.45504471991,0.15801035619,0.22846383179,0.0611956692296,0.207123803546,0.0514671269418,0.0566452220304,0.0219676761337,0.114388827868,0.0258904754433,0.0028244155029,0.0,"The July 3rd, 1973 historic concert of the 'leper Messiah'. This was to be David Bowie's last concert with the Ziggy persona and the Spiders from Mars. A great medley of 'Wild Eyed Boy From...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MTE0NTkxN15BMl5BanBnXkFtZTcwNjg5NzYyMQ@@._V1_SX300.jpg,PG,English,Ziggy Stardust and the Spiders from Mars,UK,N/A,58,7.5,D.A. Pennebaker,01 Dec 1973,1973,N/A,90,"1,985",tt0086643,David Bowie,Mick Ronson,Documentary,Music
Under Suspicion,0.504888570602,0.683603648333,0.27065437301,0.299006490343,0.429339194697,0.156169170248,0.209890839258,0.399252694119,0.140747189681,0.62601742571,0.97443353896,0.194391504193,0.909589109764,0.333372223282,0.659116817836,0.969486875854,0.461056117,0.884349724975,0.908144557328,0.566897265675,0.55883163715,0.219147383883,0.938477597578,0.242712580884,0.674730783833,0.464756534486,0.276558825287,0.0931290697952,0.51516012232,0.48031680946,11235.0,0.172140631954,3.41637739208,0.19305740988,0.166978193146,0.0633733867379,0.193680462839,0.046639964397,0.0688028482421,0.0168224299065,0.143836226079,0.0287494437027,0.00587449933244,0.0,"A lawyer is asked to come to the police station to clear up a few loose ends in his witness report of a foul murder. This will only take ten minutes, they say, but it turns out to be one ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NDAzMjA1MF5BMl5BanBnXkFtZTcwNzAzMDcxMQ@@._V1_SX300.jpg,R,English,Under Suspicion,France,"John Wainwright (book), Claude Miller, Jean Herman, Michel Audiard, Tom Provost (screenplay), W. Peter Iliff (screenplay)",43,6.5,Stephen Hopkins,15 Nov 2000,2000,2 nominations.,110,"18,327",tt0164212,Gene Hackman,Morgan Freeman,Crime,Drama
Playing It Cool,0.481064961985,0.81998376706,0.556457239448,0.209764823045,0.228310884646,0.0441510439495,0.0819468800335,0.235681356377,0.26724040929,0.619218143281,0.959524021142,0.334258506306,0.914399622036,0.662743790734,0.69565968425,0.909227196059,0.244621596859,0.972049636971,0.848088106271,0.2244129003,0.760932995209,0.203543921867,0.951348669935,0.384770632092,0.923993520828,0.673137681367,0.141998655295,0.116810181512,0.551346854431,0.807533676086,15277.0,0.136348759573,3.21286901879,0.196504549323,0.147803888198,0.0608103685279,0.206912351902,0.0418275839497,0.0703017608169,0.019048242456,0.148000261832,0.0267068141651,0.00504025659488,0.0,Unrequited love motivates a guy to write about his experiences.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwMjA2ODU3NF5BMl5BanBnXkFtZTgwMjk2MDA2NTE@._V1_SX300.jpg,R,N/A,Playing It Cool,USA,"Chris Shafer (screenplay), Paul Vicknair (screenplay)",29,6.0,Justin Reardon,08 May 2015,2014,N/A,94,"16,636",tt2139555,Chris Evans,Michelle Monaghan,Comedy,Romance
Zanjeer,0.345187994689,0.356251184106,0.304309154809,0.318455632088,0.400628432313,0.39221099092,0.388433426713,0.347885427636,0.333854296283,0.372960253597,0.835345004368,0.255634388797,0.621764446252,0.348208849059,0.387626752201,0.865448069953,0.576572714876,0.765281509252,0.610173309729,0.614995591048,0.650489600211,0.323039514504,0.874616499433,0.373160314355,0.396187690795,0.631039640382,0.463657470735,0.179241296393,0.452723145605,0.31924863078,11512.0,0.172515635858,3.35484711605,0.175642807505,0.200225851286,0.0582870048645,0.227936066713,0.0356150104239,0.0533356497568,0.0163307852675,0.124565670605,0.0311848505907,0.00616747741487,0.0,"The world erodes around Vijay, an honest police officer. He is jailed for 6 months on false charges, trapped by gang leader Teja. When Vijay is released from jail, he plans to take revenge.",http://ia.media-imdb.com/images/M/MV5BOTA1MzkzNTY2NF5BMl5BanBnXkFtZTcwNTg2ODgzMQ@@._V1_SX300.jpg,N/A,Hindi,Zanjeer,India,"Javed Akhtar (dialogue), Javed Akhtar (screenplay), Javed Akhtar (story), Salim Khan (dialogue), Salim Khan (screenplay), Salim Khan (story)",N/A,7.7,Prakash Mehra,11 May 1973,1973,4 wins.,145,"2,757",tt0070947,Amitabh Bachchan,Jaya Bhaduri,Action,Crime
Confessions of a Teenage Drama Queen,0.603529543211,0.821601797744,0.362767973299,0.167338327676,0.345974442547,0.0785020175503,0.204739481985,0.472319590739,0.214489022812,0.725352936684,0.975620034699,0.330642793203,0.837860832387,0.569126865755,0.675691616645,0.917666452971,0.482999576433,0.980018606479,0.813295892202,0.320356064451,0.64929005734,0.433805936529,0.870229028552,0.248037303194,0.790458753658,0.642764241063,0.200541280488,0.167906047066,0.614558058538,0.590103374762,11479.0,0.147312483666,3.26047565119,0.209338792578,0.1666521474,0.0661207422249,0.176496210471,0.0398989459012,0.0703894067427,0.0161163864448,0.145918634027,0.0340622005401,0.00574962975869,0.0,"A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzMDE0MDQ5Ml5BMl5BanBnXkFtZTcwNTUwMDUyMQ@@._V1_SX300.jpg,PG,English,Confessions of a Teenage Drama Queen,Germany,"Dyan Sheldon (book), Gail Parent (screenplay)",33,4.6,Sara Sugarman,20 Feb 2004,2004,1 win.,89,"23,545",tt0361467,Lindsay Lohan,Adam Garcia,Comedy,Family
Hotel Desire,0.606480839298,0.827942106286,0.418890039478,0.317316095274,0.51659480324,0.3008090819,0.334730379865,0.590125533359,0.215984519468,0.822399386901,0.948569413232,0.277620870684,0.892678251471,0.524411851779,0.483920712256,0.859503441687,0.419947735638,0.890464050271,0.782806607797,0.380809883293,0.727244176248,0.150827879831,0.866360988066,0.254109058332,0.7723430276,0.467026183764,0.255256061573,0.318022146372,0.664965699666,0.649055273366,2203.0,0.277802995915,3.18066273264,0.179754879709,0.163413527009,0.057194734453,0.261461643214,0.0472083522469,0.0558329550613,0.0145256468452,0.12528370404,0.025873808443,0.00817067635043,0.0,"A young single mother drops her son of at the bus stop to visit his dad in Paris. After being late for work, she almost gets fired. At the end of her duties she gets into a tricky situation which she handles, with the advice her colleague gave her.",https://images-na.ssl-images-amazon.com/images/M/MV5BZDM3YTlmN2MtY2UzMi00OTliLThmNTEtMjI1NWZkOTEzNTUwXkEyXkFqcGdeQXVyMzgxMjY1Nzg@._V1_SX300.jpg,N/A,German,Hotel Desire,Germany,Sergej Moya (screenplay),N/A,5.7,Sergej Moya,07 Dec 2011,2011,N/A,38,"1,473",tt2080323,Saralisa Volm,Clemens Schick,Short,Drama
