,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,WORDS,DIVERSITY,LENGTH,VERB,NOUN,ADP,.,ADJ,ADV,CONJ,PRON,PRT,NUM,X,Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Year,Awards,Runtime,Poster,imdbVotes,imdbID,Actors1,Actors2,Genre1,Genre2
Behind the Mask The Rise of Leslie Vernon 2006.txt,2.2408034219,0.74743570139,-0.147780299119,0.207316684983,1.55997246232,0.78983360668,-0.393049521707,1.39019592492,-1.67168336968,1.49017374018,0.643715323991,-0.840146995547,1.31960278433,-1.0618804585,-1.45283955097,1.14594523944,-1.31690832598,0.71256951023,1.62211711461,1.90218875963,-2.84109282824,-1.63263939236,0.932179728854,-0.709172381685,-0.0280577631119,-1.37577993244,-0.939196404045,-0.991082339627,-1.06811506111,-1.04222176355,-0.731165866856,0.37788438298,1.36786577305,0.785127523097,-0.232606853183,1.56844780963,-0.687768153422,-0.92321106301,-0.975812954961,2.78595072996,-0.556166384801,-0.489005034818,0.151057931457,-1.50330091302,The next great psycho horror slasher has given a documentary crew exclusive access to his life as he plans his reign of terror over the sleepy town of Glen Echo.,R,True,English,Behind the Mask: The Rise of Leslie Vernon,USA,"Scott Glosserman, David J. Stieve",66.0,6.8,Scott Glosserman,13 Oct 2006,2006,5 wins & 3 nominations.,92.0,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5MDE3MTQxOV5BMl5BanBnXkFtZTcwNDY0NzA0MQ@@._V1_SX300.jpg,"17,333",tt0437857,Nathan Baesel, Angela Goethals,Comedy, Horror
So Dear to My Heart 1948.txt,-1.29025237599,-0.501154709081,-0.885480666165,2.13747664974,-0.350098661422,-0.219751304677,-1.00019352118,0.0977195336752,-0.0604351435505,0.628548324321,0.345051102024,-1.03695650632,-0.900202311932,-1.27229717841,0.57542187832,0.467738228527,0.193967864429,-0.549933026584,-0.753582279038,-0.121736539438,-0.718200983654,0.244407943732,0.453939589097,0.800822188963,0.552707094144,-1.274296689,-0.104073169135,-0.796522067426,0.310903865882,-0.787401788251,-0.243052149339,0.26521007752,0.227781326065,-0.478852182942,0.370790963239,0.619148212486,-1.06740410913,1.06476582979,0.66770992788,1.38369024895,-0.564468427553,0.701317013204,0.206510043764,-0.469937572003,This heartwarming classic tells the tale of a country boy who adopts a mischevious black lamb and learns valuable lessons about love and dedication.,PASSED,True,English,So Dear to My Heart,USA,"John Tucker Battle (screenplay), Maurice Rapf (adaptation), Ted Sears (adaptation), Sterling North (novel), Marc Davis (cartoon story treatment), Ken Anderson (cartoon story treatment), Bill Peet (cartoon story treatment)",,7.2,"Harold D. Schuster, Hamilton Luske",19 Jan 1949,1948,,79.0,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1NTAyNDg5NF5BMl5BanBnXkFtZTcwNTc2ODcxMQ@@._V1_SX300.jpg,908,tt0041890,Burl Ives, Beulah Bondi,Animation, Drama
Barbie and the Diamond Castle 2008.txt,1.25033563413,1.26166818836,-0.280017271735,0.219818013401,-0.593089502118,-0.740821535373,-0.191458401652,0.832988805476,-0.398337767272,0.924288434104,0.636832189948,-0.236527834668,1.49030130631,0.423020577823,-0.641405514561,0.968615901091,0.0917853142135,0.749302751583,1.35179059633,-0.764498462937,0.643905254221,0.239585476185,0.182704883712,0.132539172503,1.496170145,-0.0124870959547,-0.967060548972,0.435581233613,0.951895959847,-0.162833982343,-0.94627554943,0.0667393964771,0.364887959991,0.987094330652,-0.327198749987,-0.490016794159,-0.777385170409,-0.433065889837,1.38833287047,0.910976494075,0.803114625438,-1.42267125946,0.816607227452,0.465251401975,"Two best friends, Liana and Alexa, embark on a journey to find the Diamond Castle! With the help of music, the girls overcome challenges that show friendship is the true treasure.",,True,English,Barbie and the Diamond Castle,USA,"Elana Lesser (screenwriter), Cliff Ruby (screenwriter)",,6.1,Gino Nichele,09 Sep 2008,2008,1 win.,79.0,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MDgwNDk2OV5BMl5BanBnXkFtZTgwMTM4MjA2MDE@._V1_SX300.jpg,"1,173",tt1294138,Kelly Sheridan, Melissa Lyons,Animation, Family
Ghost in a Teeny Bikini 2006.txt,0.817926510342,0.919281866582,2.05674137928,-1.05560286531,0.201680678123,-0.474637628724,-0.651222832346,-0.897478641203,-0.338715235417,0.322325792915,0.505982919682,1.34254614458,0.697417162936,1.16674388422,0.162614925688,1.026553571,-1.86647130902,0.594720984778,0.869429424965,-1.08926523365,-0.457656461295,-1.46497566969,1.00822352139,1.73957236692,1.26050777493,1.08785780309,-0.697921129438,0.0412623120938,-1.34722911295,1.2782535328,-1.36671720173,1.99250820495,0.897436185258,0.229375719747,-0.0706194139971,0.116053364807,-0.467186678875,0.579979469257,1.28634585376,0.791592110297,-0.379076611758,0.414488588967,-0.767286908355,-0.441654704567,"A B-movie actress and her director boyfriend go to the spooky mansion of her rich uncle for the reading of his will, while her uncle's scheming lawyer and a sexy, playful female ghost vie to control the inheritance.",NOT RATED,True,English,Ghost in a Teeny Bikini,USA,"Fred Olen Ray, Jeff O'Brien (additional dialogue), David A. Lloyd (additional dialogue), Brett Kelly (additional dialogue)",,4.3,Fred Olen Ray,,2006,,84.0,http://ia.media-imdb.com/images/M/MV5BMTU1NjI1Njc3OF5BMl5BanBnXkFtZTcwMDYwOTEzMg@@._V1_SX300.jpg,406,tt0861773,Christine Nguyen, Nicole Sheridan,Comedy, Musical
Kit Kittredge An American Girl 2008.txt,0.603796975553,1.06131934181,-0.895522389612,0.622814892233,0.49126472159,-0.68112691718,0.17201987914,0.954995867386,-1.32986551287,1.15865454311,0.624914445175,-0.751382833073,0.0364263385653,-0.342351673759,-0.506192280052,0.663448295366,0.677453271998,0.681218682728,0.366945423355,-0.54293501368,-0.0667412665937,0.319653571718,-0.722364974781,-1.08224830679,-0.205153412819,-0.894646668629,-0.554651346936,-0.23870520668,0.285599212056,-1.05127666073,0.419516549978,0.315381271589,0.811659732776,-0.421142007589,0.355049741082,-0.728949531881,0.421750561401,0.76916597459,-0.437372626062,-0.0509920258791,-0.438326560928,-0.650475039917,-0.0519850473818,0.245250306058,"Set in Cincinnati at the height of the Great Depression, Kit Kittredge, a resourceful young girl, helps her mother run a boardinghouse after her father loses his job.",G,True,English,Kit Kittredge: An American Girl,"USA, Canada","Ann Peacock, Valerie Tripp (Kit Kittredge stories)",63.0,6.6,Patricia Rozema,02 Jul 2008,2008,2 wins & 5 nominations.,101.0,http://ia.media-imdb.com/images/M/MV5BMTIxOTExNTU2OF5BMl5BanBnXkFtZTcwMDAwODU2MQ@@._V1_SX300.jpg,"4,743",tt0846308,Abigail Breslin, Julia Ormond,Drama, Family
Removal 2010.txt,-0.513490630893,-0.11579551291,1.02307046665,-1.19422930628,-0.953767567269,-0.488440529125,-0.513946970468,-1.16190422769,0.744389431308,-0.49976543186,0.13086765435,0.791432879986,0.162611579938,1.2661168058,0.246584496622,-0.284766601698,-1.23866040165,0.208424653422,-0.0780457034916,-0.484412200126,-0.208398971747,-0.575227931644,0.243934922569,0.425006696957,0.304112156917,1.07535807615,-0.354997378059,-0.432043538521,-0.0364102752333,0.321986230662,-0.477974565835,-0.0149726796618,-0.563301280179,-4.36839207846,7.02118855211,-3.60684005337,-0.136014161267,-3.68388592411,-5.00107991647,-1.63778398494,-3.63351052597,-2.9801398995,-0.86746625395,-1.21987768778,Gothic horror meets industrial-strength cleaning products in this spine-tingler about a pill-popping cleaning service employee and a sprawling mansion with secrets of its own.,R,True,English,Removal,USA,"Daniel Meersand, Oz Perkins, Nick Simon",,4.8,Nick Simon,07 Nov 2010,2010,,91.0,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0MzkwNTU4OF5BMl5BanBnXkFtZTcwMjEyOTg4OA@@._V1_SX300.jpg,806,tt1493828,Billy Burke, Mark Kelly,Thriller,Thriller
Buck 2011.txt,0.45281250765,0.398224816938,1.6769127062,-1.36664078666,-0.32401513071,-0.883638360749,-0.833678320781,-1.59018182546,-0.626240688902,0.200865365614,0.418972003104,0.38547038399,0.740663024775,0.742971020345,2.23166485581,0.878544776431,-1.90111193485,0.471314228884,0.835264995437,-0.49577163847,-1.53402177528,-1.32254746839,0.839480271111,0.591873695104,0.193239439931,1.34619730213,-0.654327476947,-0.177264984379,-1.29934747868,1.28295924456,1.24599059355,-1.06959518215,0.230784786564,0.720474976165,-0.633152074293,2.10048283452,-1.74779745294,0.334725700046,1.43063941041,2.90090844314,0.335778518997,1.36449033406,-0.321502149151,-1.15233591208,"An examination of the life of acclaimed 'horse whisperer' Buck Brannaman, who recovered from years of child abuse to become a well-known expert in the interactions between horses and people.",PG,True,English,Buck,USA,,76.0,7.6,Cindy Meehl,16 Feb 2012,2011,10 wins & 12 nominations.,88.0,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NDgxNDkyMl5BMl5BanBnXkFtZTcwODIxOTMxNQ@@._V1_SX300.jpg,"2,748",tt1753549,Buck Brannaman, Gary Myers,Documentary,Documentary
The Challenger Disaster 2013.txt,1.29032712306,0.893202891919,0.570234318583,0.152440851452,2.59726941958,2.96187558733,2.30345922032,0.996373611158,-1.12521373795,1.51304758553,0.0909693842632,-0.894995874078,-1.07834021411,-1.19930004976,-1.45727005823,0.509836978367,-0.81696520236,-1.92156497714,0.0419848149965,1.55383403218,1.03689125062,-1.38183608707,1.06556470014,-0.0248152711442,0.00923434292358,-0.680336998609,-0.94096839128,3.38910187358,-1.92646911083,2.09063745779,0.00885261051777,0.869395363969,2.14208641691,-0.303737274655,0.333239723314,1.79050871456,-1.21270970683,0.877177556299,-0.822078443393,0.24090275195,-1.07255833716,0.178963500325,1.28990374596,-0.266300907291,Factual drama exploring the truth behind the space shuttle Challenger's 1986 disintegration.,,True,English,The Challenger Disaster,"UK, USA",Kate Gartside,,7.3,James Hawes,16 Nov 2013,2013,1 win & 2 nominations.,90.0,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMDY4MTQ1M15BMl5BanBnXkFtZTgwOTk5MjY2MDE@._V1_SX300.jpg,"3,296",tt2421662,Joanne Whalley, Kevin McNally,Drama,Drama
United 93 2006.txt,0.878311127466,0.280466388184,-1.56707946413,1.93981061225,2.24322827645,2.22248012018,2.11192291274,2.14854678166,-1.18647635385,1.37875911082,0.496385872259,-1.22141074366,-2.1755925054,-1.66296378586,-1.96727956181,-1.86114530302,1.636379907,-0.745796177999,-1.88963256103,1.77406497551,0.895318044905,0.809445301857,0.385604881235,-1.15955947619,-1.90145953391,-1.93948168325,-0.812372205418,0.985269861073,0.508299094052,-0.720379283963,1.51153268975,-1.56000054354,0.522334932499,-0.0111964051345,0.169063377834,0.163350055703,-0.307832015302,-0.460643111419,-0.727411413188,-0.479121435692,-0.507429491116,-0.140731150073,4.87066773077,0.493524437432,"A real-time account of the events on United Flight 93, one of the planes hijacked on September 11th, 2001 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.",R,True,English,United 93,"USA, UK, France",Paul Greengrass,90.0,7.6,Paul Greengrass,28 Apr 2006,2006,Nominated for 2 Oscars. Another 27 wins & 46 nominations.,111.0,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1Nzc3NjAwOF5BMl5BanBnXkFtZTcwNzYzMjYzMQ@@._V1_SX300.jpg,"84,359",tt0475276,J.J. Johnson, Gary Commock,Drama, History
Far from the Madding Crowd 1998.txt,1.64333783315,0.903908755286,0.0444586782112,-0.506661440209,1.64423468487,0.244217397423,0.0490502418645,1.03667537097,-1.32515897895,1.16617190142,0.611589162544,-0.505764737551,0.149939064521,-0.491677862466,-0.962062488365,0.881724493883,-0.728582170274,0.668264176135,0.890011359852,0.485511384975,-1.3141850916,-1.35223850707,0.926560132652,-0.899556077939,-0.0774357619654,-0.933804613466,-0.844613446704,-0.565063870968,-0.459089524142,-1.02338718675,1.45260910445,-0.96778407081,-0.0196575176716,0.783632190043,-0.0299566662546,-0.533415662889,0.056487721197,-0.281858713578,0.264956647817,0.343021417607,-0.0577775010495,-1.12679259746,-0.149523394543,-0.0948837220354,"In Victorian England, the independent and headstrong Bathsheba Everdene attracts three very different suitors: Gabriel Oak, a sheep farmer; Frank Troy, a reckless Sergeant; and William Boldwood, a prosperous and mature bachelor.",PG-13,True,English,Far from the Madding Crowd,"UK, USA","Thomas Hardy (based on the novel by), David Nicholls (screenplay)",71.0,7.1,Thomas Vinterberg,22 May 2015,2015,6 nominations.,119.0,https://images-na.ssl-images-amazon.com/images/M/MV5BNzI4NzUwNDgwN15BMl5BanBnXkFtZTgwNTI3MjMwNTE@._V1_SX300.jpg,"30,858",tt2935476,Carey Mulligan, Matthias Schoenaerts,Drama, Romance
