,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Words,DiversityW,WordL,VERB,NOUN,ADP,.,ADJ,ADV,CONJ,PRON,PRT,NUM,X
Anegan 2015.txt,0.191801917475,0.279898054505,0.225957394564,0.447159381298,0.272945576347,0.333310189661,0.351606916923,0.313566731638,0.494306427295,0.170884410057,0.847213652742,0.333275404319,0.859499737715,0.479155040073,0.459354042411,0.934594433856,0.648281380672,0.808415239548,0.798924921454,0.606226060846,0.775301059573,0.370170951363,0.845033465875,0.659238801763,0.694871115982,0.662846570165,0.694469452669,0.0757155987395,0.583060494166,0.179030719387,13981.0,0.214147771976,3.79522208712,0.190901938345,0.257134682784,0.0713825906588,0.103926757743,0.0520706673342,0.0603676417996,0.0183820899793,0.141048565911,0.0281095772835,0.00593662828124,0.0
Confessione di un commissario di polizia al procuratore della repubblica Confessions of a Police Captain 1971.txt,0.548050634986,0.498056583356,0.274359966891,0.350598081575,0.559459841195,0.387921668859,0.286769872713,0.445832749088,0.0885929520876,0.69944929909,0.968480632997,0.0939276297729,0.658745440188,0.136793879415,0.305407520589,0.972170040979,0.285914070654,0.834410541558,0.812411929134,0.796365908787,0.579253476964,0.0694906400313,0.987520501492,0.226829633066,0.38164387169,0.51256034013,0.242815628623,0.094079104125,0.200828150083,0.340997331947,13372.0,0.151959317978,3.46238408615,0.202064014358,0.166691594376,0.0709691893509,0.187182171702,0.0349237212085,0.0619952138797,0.0187705653605,0.13924618606,0.0338019742746,0.00575830092731,0.0
Barbie and the Diamond Castle 2008.txt,0.732486790987,0.934898493671,0.252688387527,0.497742850869,0.326123898144,0.0941510386569,0.223321399676,0.69468629094,0.188313620523,0.863496404807,0.998384133476,0.122732349738,0.9312600844,0.371577353322,0.398401746898,0.960728637334,0.525282558983,0.994965164266,0.920191794672,0.304492144776,0.840274370155,0.466957504937,0.883266109977,0.290721616636,0.959226980062,0.454244557798,0.0536769464263,0.247392460479,0.789328446052,0.415037967991,6821.0,0.163612373552,3.31681571617,0.206714557983,0.162732737135,0.0542442457118,0.187069344671,0.0379709719982,0.0746224893711,0.0206714557983,0.148805160534,0.0224307286322,0.00908957630846,0.0
Ghost in a Teeny Bikini 2006.txt,0.649047492034,0.869905644346,0.656152835473,0.250056176809,0.443797717004,0.133553329167,0.155248785073,0.356196873803,0.196426767571,0.74291118975,0.983623530864,0.311633931838,0.773839548713,0.500393500579,0.533272546311,0.971886433223,0.134276173626,0.971429479913,0.824408650819,0.246472088685,0.662686783361,0.0526746415279,0.990915355963,0.620942821072,0.912922042844,0.647369051429,0.0915064189771,0.194597295829,0.312887060682,0.743234472362,5187.0,0.228455754772,3.41758241758,0.192596876807,0.175824175824,0.0609215346057,0.19683824947,0.0462695199537,0.073645652593,0.0200501253133,0.123770965876,0.0304607673029,0.00424137266243,0.0
Daens 1992.txt,0.460971564517,0.52522233154,0.2379434552,0.466926619735,0.604045119572,0.458463810669,0.534566353678,0.539573355448,0.13751321218,0.735261796899,0.958534278262,0.131857414937,0.739481227086,0.19289116094,0.26039213588,0.989313386387,0.45829082223,0.852424396889,0.900111037392,0.83400712586,0.644643393433,0.154937393488,0.987729539072,0.305983102536,0.839750252607,0.506162669968,0.280358319897,0.159705802501,0.271159292907,0.342404553374,10961.0,0.178085941064,3.49876836055,0.191953288933,0.186935498586,0.0691542742451,0.192956847003,0.0434266946446,0.06066964693,0.0197974637351,0.122525317033,0.0284645561536,0.00748106924551,0.0
Bruc La llegenda Bruc the Manhunt The Birth of a Legend 2010.txt,0.48789257939,0.366361099292,0.345161304031,0.522099290875,0.417536927414,0.321970342225,0.335705775291,0.459760016887,0.327859145066,0.361502240528,0.964327652683,0.1366438886,0.856417460382,0.244182632795,0.315318663431,0.966690139313,0.40620820427,0.955586466682,0.877014482095,0.662829643303,0.804839202308,0.129370946245,0.967860964809,0.597877657368,0.792352738774,0.602378905538,0.31837570734,0.0694630044169,0.474602973301,0.103568137905,2843.0,0.248680970805,3.27611677805,0.205065072107,0.176222300387,0.0640168835737,0.190643686247,0.0327119240239,0.0541681322547,0.0133661625044,0.156876538867,0.0253253605346,0.00527611677805,0.0
Ziggy Stardust and the Spiders from Mars 1973.txt,0.0701813337039,0.422937775246,0.430127635458,0.804842909746,0.0853159282959,0.0783090669931,0.0718869294437,0.110738631937,0.757136976178,0.44760026965,0.433063262514,0.356517757089,0.572944881847,0.448813510717,0.696162243489,0.70998483585,0.351635420753,0.550953441896,0.244652279975,0.0941920334017,0.812304378255,0.48966253373,0.917295239053,0.94804104078,0.974323882938,0.560739224327,0.414570114649,0.328993528167,0.749219622344,0.888884878553,6373.0,0.201318060568,3.45504471991,0.15801035619,0.22846383179,0.0611956692296,0.207123803546,0.0514671269418,0.0566452220304,0.0219676761337,0.114388827868,0.0258904754433,0.0028244155029,0.0
Under Suspicion 2000.txt,0.504888570602,0.683603648333,0.27065437301,0.299006490343,0.429339194697,0.156169170248,0.209890839258,0.399252694119,0.140747189681,0.62601742571,0.97443353896,0.194391504193,0.909589109764,0.333372223282,0.659116817836,0.969486875854,0.461056117,0.884349724975,0.908144557328,0.566897265675,0.55883163715,0.219147383883,0.938477597578,0.242712580884,0.674730783833,0.464756534486,0.276558825287,0.0931290697952,0.51516012232,0.48031680946,11235.0,0.172140631954,3.41637739208,0.19305740988,0.166978193146,0.0633733867379,0.193680462839,0.046639964397,0.0688028482421,0.0168224299065,0.143836226079,0.0287494437027,0.00587449933244,0.0
Playing It Cool 2014.txt,0.481064961985,0.81998376706,0.556457239448,0.209764823045,0.228310884646,0.0441510439495,0.0819468800335,0.235681356377,0.26724040929,0.619218143281,0.959524021142,0.334258506306,0.914399622036,0.662743790734,0.69565968425,0.909227196059,0.244621596859,0.972049636971,0.848088106271,0.2244129003,0.760932995209,0.203543921867,0.951348669935,0.384770632092,0.923993520828,0.673137681367,0.141998655295,0.116810181512,0.551346854431,0.807533676086,15277.0,0.136348759573,3.21286901879,0.196504549323,0.147803888198,0.0608103685279,0.206912351902,0.0418275839497,0.0703017608169,0.019048242456,0.148000261832,0.0267068141651,0.00504025659488,0.0
Zanjeer 2013.txt,0.345187994689,0.356251184106,0.304309154809,0.318455632088,0.400628432313,0.39221099092,0.388433426713,0.347885427636,0.333854296283,0.372960253597,0.835345004368,0.255634388797,0.621764446252,0.348208849059,0.387626752201,0.865448069953,0.576572714876,0.765281509252,0.610173309729,0.614995591048,0.650489600211,0.323039514504,0.874616499433,0.373160314355,0.396187690795,0.631039640382,0.463657470735,0.179241296393,0.452723145605,0.31924863078,11512.0,0.172515635858,3.35484711605,0.175642807505,0.200225851286,0.0582870048645,0.227936066713,0.0356150104239,0.0533356497568,0.0163307852675,0.124565670605,0.0311848505907,0.00616747741487,0.0
Confessions of a Teenage Drama Queen 2004.txt,0.603529543211,0.821601797744,0.362767973299,0.167338327676,0.345974442547,0.0785020175503,0.204739481985,0.472319590739,0.214489022812,0.725352936684,0.975620034699,0.330642793203,0.837860832387,0.569126865755,0.675691616645,0.917666452971,0.482999576433,0.980018606479,0.813295892202,0.320356064451,0.64929005734,0.433805936529,0.870229028552,0.248037303194,0.790458753658,0.642764241063,0.200541280488,0.167906047066,0.614558058538,0.590103374762,11479.0,0.147312483666,3.26047565119,0.209338792578,0.1666521474,0.0661207422249,0.176496210471,0.0398989459012,0.0703894067427,0.0161163864448,0.145918634027,0.0340622005401,0.00574962975869,0.0
Hotel Desire 2011.txt,0.606480839298,0.827942106286,0.418890039478,0.317316095274,0.51659480324,0.3008090819,0.334730379865,0.590125533359,0.215984519468,0.822399386901,0.948569413232,0.277620870684,0.892678251471,0.524411851779,0.483920712256,0.859503441687,0.419947735638,0.890464050271,0.782806607797,0.380809883293,0.727244176248,0.150827879831,0.866360988066,0.254109058332,0.7723430276,0.467026183764,0.255256061573,0.318022146372,0.664965699666,0.649055273366,2203.0,0.277802995915,3.18066273264,0.179754879709,0.163413527009,0.057194734453,0.261461643214,0.0472083522469,0.0558329550613,0.0145256468452,0.12528370404,0.025873808443,0.00817067635043,0.0
Nostalgia 1983.txt,0.599844937599,0.706635910773,0.553865490627,0.221332515762,0.32489639352,0.146294803488,0.283183551595,0.205196807778,0.352275878393,0.618720025001,0.956702078457,0.431255206679,0.982649355078,0.581049194758,0.642010435315,0.994567486132,0.239938894703,0.944181838245,0.965703028265,0.388190337044,0.742664609798,0.0988640428885,0.994092886744,0.778967159133,0.978244369883,0.81132502815,0.186269120077,0.193204819164,0.394150015398,0.742449399489,3920.0,0.26556122449,3.58265306122,0.222704081633,0.184183673469,0.0785714285714,0.0941326530612,0.0505102040816,0.072193877551,0.0209183673469,0.165051020408,0.0311224489796,0.00663265306122,0.0
Brothers 2009.txt,0.468286132351,0.694314841905,0.130117324875,0.403524377562,0.426868002372,0.0830344188403,0.219769224788,0.690954793774,0.256293233923,0.529287810173,0.970855702234,0.122032798518,0.717811135276,0.300117544954,0.532432141864,0.77566783499,0.822934026581,0.992315641942,0.787503304994,0.437945852783,0.662590905003,0.771163527915,0.521582755684,0.0410568879364,0.470607913291,0.427720197517,0.230601849429,0.0792871808223,0.925295040877,0.0803889540674,7713.0,0.143005315701,2.97744068456,0.190198366394,0.156359393232,0.0464151432646,0.259432127577,0.0339686244004,0.0613250356541,0.0101127965772,0.157396603138,0.0256709451575,0.0046674445741,0.0
Far from the Madding Crowd 1998.txt,0.808321980785,0.86698747197,0.308712363285,0.356660575487,0.657382528194,0.239962972528,0.258931053459,0.734528558394,0.0621962527502,0.911950524596,0.995536564701,0.0905240570408,0.665142337084,0.213147560997,0.344612987024,0.94399485105,0.361479244868,0.982626721178,0.828495634903,0.527808222742,0.524602052989,0.0800746996937,0.980266290247,0.0786415314969,0.650031571795,0.292541641561,0.0708877634155,0.113416584178,0.496933792676,0.219053650215,16144.0,0.128778493558,3.24405351833,0.202923686819,0.177898909812,0.0537661050545,0.213330029732,0.0392096134787,0.0638627353816,0.0177155599604,0.130574826561,0.0237239841427,0.00613230921705,0.0
