Title,imdbRating,imdbVotes,Metascore,Runtime,Year,Genre1,Genre2,Rated,Director,Actors1,Actors2,Country,Writer,Awards,Released,imdbID,Plot,Poster
Barbie and the Diamond Castle,6.1,1173,N/A,79,2008,Animation,Family,N/A,Gino Nichele,Kelly Sheridan,Melissa Lyons,USA,"Elana Lesser (screenwriter), Cliff Ruby (screenwriter)",1 win.,9-Sep-08,tt1294138,"Two best friends, Liana and Alexa, embark on a journey to find the Diamond Castle! With the help of music, the girls overcome challenges that show friendship is the true treasure.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MDgwNDk2OV5BMl5BanBnXkFtZTgwMTM4MjA2MDE@._V1_SX300.jpg
Ghost in a Teeny Bikini,4.3,406,N/A,84,2006,Comedy,Musical,NOT RATED,Fred Olen Ray,Christine Nguyen,Nicole Sheridan,USA,"Fred Olen Ray, Jeff O'Brien (additional dialogue), David A. Lloyd (additional dialogue), Brett Kelly (additional dialogue)",N/A,N/A,tt0861773,"A B-movie actress and her director boyfriend go to the spooky mansion of her rich uncle for the reading of his will, while her uncle's scheming lawyer and a sexy, playful female ghost vie to control the inheritance.",http://ia.media-imdb.com/images/M/MV5BMTU1NjI1Njc3OF5BMl5BanBnXkFtZTcwMDYwOTEzMg@@._V1_SX300.jpg
Ziggy Stardust and the Spiders from Mars,7.5,1985,58,90,1973,Documentary,Music,PG,D.A. Pennebaker,David Bowie,Mick Ronson,UK,N/A,N/A,1-Dec-73,tt0086643,"The July 3rd, 1973 historic concert of the 'leper Messiah'. This was to be David Bowie's last concert with the Ziggy persona and the Spiders from Mars. A great medley of 'Wild Eyed Boy From...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MTE0NTkxN15BMl5BanBnXkFtZTcwNjg5NzYyMQ@@._V1_SX300.jpg
Under Suspicion,6.5,18327,43,110,2000,Crime,Drama,R,Stephen Hopkins,Gene Hackman,Morgan Freeman,France,"John Wainwright (book), Claude Miller, Jean Herman, Michel Audiard, Tom Provost (screenplay), W. Peter Iliff (screenplay)",2 nominations.,15-Nov-00,tt0164212,"A lawyer is asked to come to the police station to clear up a few loose ends in his witness report of a foul murder. This will only take ten minutes, they say, but it turns out to be one ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NDAzMjA1MF5BMl5BanBnXkFtZTcwNzAzMDcxMQ@@._V1_SX300.jpg
Confessions of a Teenage Drama Queen,4.6,23545,33,89,2004,Comedy,Family,PG,Sara Sugarman,Lindsay Lohan,Adam Garcia,Germany,"Dyan Sheldon (book), Gail Parent (screenplay)",1 win.,20-Feb-04,tt0361467,"A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzMDE0MDQ5Ml5BMl5BanBnXkFtZTcwNTUwMDUyMQ@@._V1_SX300.jpg
Brothers,7.1,89155,58,105,2009,Drama,Thriller,R,Jim Sheridan,Tobey Maguire,Jake Gyllenhaal,USA,"David Benioff (screenplay), Susanne Bier (motion picture ""BrÌüdre""), Anders Thomas Jensen (motion picture ""BrÌüdre"")",Nominated for 2 Golden Globes. Another 3 wins & 13 nominations.,4-Dec-09,tt0765010,A young man comforts his older brother's wife and children after he goes missing in Afghanistan.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyMTY5MTcxOV5BMl5BanBnXkFtZTcwMTI3MDE3Mg@@._V1_SX300.jpg
Far from the Madding Crowd,7.1,30858,71,119,2015,Drama,Romance,PG-13,Thomas Vinterberg,Carey Mulligan,Matthias Schoenaerts,UK,"Thomas Hardy (based on the novel by), David Nicholls (screenplay)",6 nominations.,22-May-15,tt2935476,"In Victorian England, the independent and headstrong Bathsheba Everdene attracts three very different suitors: Gabriel Oak, a sheep farmer; Frank Troy, a reckless Sergeant; and William Boldwood, a prosperous and mature bachelor.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzI4NzUwNDgwN15BMl5BanBnXkFtZTgwNTI3MjMwNTE@._V1_SX300.jpg
Operation Petticoat,7.3,9364,N/A,124,1959,Comedy,Romance,APPROVED,Blake Edwards,Cary Grant,Tony Curtis,USA,"Stanley Shapiro (screenplay), Maurice Richlin (screenplay), Paul King (suggested by a story by), Joseph Stone (suggested by a story by)",Nominated for 1 Oscar. Another 1 win & 4 nominations.,N/A,tt0053143,"World War 2 comedy about a submarine commander who finds himself stuck with a decrepit (and pink) sub, a con-man executive officer and a group of army nurses.",http://ia.media-imdb.com/images/M/MV5BNTIzODI5MzU2NF5BMl5BanBnXkFtZTcwOTY4ODgxMQ@@._V1_SX300.jpg
Ghosts of Mars,4.9,43359,35,98,2001,Action,Horror,R,John Carpenter,Natasha Henstridge,Ice Cube,USA,"Larry Sulkis, John Carpenter",1 nomination.,24-Aug-01,tt0228333,"Years in the future, a Martian police unit is sent to pick up a highly dangerous criminal at a remote mining post. Upon arrival, the cops find that the post has become a charnel house.",https://images-na.ssl-images-amazon.com/images/M/MV5BOGM3NTk3YTYtNGFkNS00ZjZhLTlmNzEtZDNjMDkzMWI3NGNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Quarantine,6,58029,53,89,2008,Horror,Sci-Fi,R,John Erick Dowdle,Jennifer Carpenter,Steve Harris,USA,"John Erick Dowdle (screenplay), Drew Dowdle (screenplay), Jaume BalaguerÌ_ (motion picture ""Rec""), Luiso Berdejo (motion picture ""Rec""), Paco Plaza (motion picture ""Rec"")",6 nominations.,10-Oct-08,tt1082868,"A television reporter and her cameraman are trapped inside a building quarantined by the CDC, after the outbreak of a mysterious virus which turns humans into bloodthirsty killers.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjY0MDgwNTQ4OF5BMl5BanBnXkFtZTcwMzQzNjY3MQ@@._V1_SX300.jpg
