,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Rated,Language,Country,Director,Year,Genre,Runtime,imdbVotes,Actors1,Actors2,Words,DiversityW,Verb/Noun,Zipf
Ghost in a Teeny Bikini,0.585807090168,0.78650653922,0.343105508245,0.502662799902,0.4086088992,0.308984544599,0.189378313271,0.474774304794,0.234702726515,0.68435630867,0.944557501624,0.211304084932,0.644102288745,0.265619526316,0.409860763239,0.965438901208,0.368254797437,0.933274849913,0.871710913386,0.568572738978,0.537941836585,0.244456892726,0.978091075488,0.514486727886,0.784380162536,0.462553345273,0.116533009152,0.200810140399,0.324018794117,0.418008744812,NOT RATED,English,USA,Fred Olen Ray,2006,"Comedy, Musical",84,406,Christine Nguyen, Nicole Sheridan,3891.0,0.30300693909,1.17561521253,0.891233665686
Daens,0.438908402877,0.475255749512,0.144874705778,0.598838326976,0.594352110531,0.563896756829,0.567443731985,0.60568772151,0.150987994955,0.733750912286,0.93635905065,0.104321983518,0.679760543949,0.126021034512,0.198431780298,0.988325903914,0.594102716841,0.827178552816,0.916621937091,0.913018798316,0.587118325863,0.271308668631,0.976755240344,0.247278289772,0.774643930305,0.426579499267,0.283165573495,0.168862807878,0.271196128493,0.212749671977,N/A,"Flemish, Dutch, French, Latin, Spanish","Belgium, France, Netherlands",Stijn Coninx,1992,"Biography, Drama, History",138,"3,084",Jan Decleir, Gérard Desarthe,8237.0,0.232001942455,1.40444184687,0.905176396009
Echoes of War,0.377981073412,0.66258944334,0.0447321754457,0.84073330904,0.434164391323,0.279927363735,0.265221639186,0.751452924636,0.227798548641,0.705850492691,0.974899389461,0.0365053979237,0.770398683026,0.0934812935986,0.304237183113,0.92935884714,0.837719749082,0.927114720169,0.872920105038,0.787623082876,0.718906040635,0.768366764233,0.77742766067,0.173815023548,0.685257293067,0.201021197731,0.148592010149,0.079372776554,0.910498788282,0.0351622606748,R,English,USA,Kane Senes,2015,"Drama, Thriller, Western",100,"1,322",James Badge Dale, Ethan Embry,4316.0,0.231927710843,1.109,0.846962496075
Dagon,0.0614313927533,0.241884365487,0.10208505973,0.834649399085,0.162059788207,0.383393967258,0.29475015334,0.494287199163,0.726143269595,0.184413172275,0.655522841447,0.17504018928,0.446789085961,0.316243817902,0.184905196864,0.853602224172,0.728188624216,0.850309432597,0.521111936184,0.600220982276,0.90978525622,0.662317285707,0.839137626764,0.592154573257,0.723871976863,0.477340340322,0.449943870739,0.0382053525633,0.77803300245,0.0560602794148,R,"English, Gallegan, Spanish",Spain,Stuart Gordon,2001,"Fantasy, Horror, Mystery",98,"12,883",Ezra Godden, Francisco Rabal,2790.0,0.328315412186,1.82321428571,0.86088066169
Hotel Desire,0.558216312701,0.700246443923,0.167302346829,0.602592327146,0.477805225625,0.539135632339,0.392247733395,0.697811489869,0.274894271564,0.753852460784,0.85567161725,0.186136498906,0.816656395108,0.296477926004,0.356412901161,0.832504030187,0.692729256856,0.812523962024,0.837440345885,0.724826924579,0.630584026014,0.458896490373,0.734113584455,0.201647721724,0.5523811699,0.286328455708,0.356609436685,0.316813905953,0.702724135033,0.294533893594,N/A,German,Germany,Sergej Moya,2011,"Short, Drama, Romance",38,"1,473",Saralisa Volm, Clemens Schick,1461.0,0.418206707734,1.67457627119,0.890743948159
Nostalgia,0.544084456956,0.580338948012,0.278494782089,0.461059004485,0.294436503332,0.313729038267,0.33625538604,0.295909423552,0.402371895499,0.564440640001,0.892383495211,0.321540305522,0.963815298899,0.354114208063,0.510952844036,0.993048095106,0.492083274142,0.895973235394,0.977579473794,0.698148265415,0.64229513614,0.318964757575,0.983610911611,0.710127321366,0.935105922369,0.66740824367,0.240218538931,0.196105351808,0.401609887846,0.426217473169,NOT RATED,"Italian, Russian","Italy, Soviet Union",Andrei Tarkovsky,1983,Drama,125,"13,425",Oleg Yankovskiy, Erland Josephson,3203.0,0.326256634405,1.24890829694,0.888130010295
Kung Pow: Enter the Fist,0.217255389521,0.666147548517,0.364854265936,0.797035067164,0.146273957225,0.045730202061,0.0376985642827,0.372618103448,0.219365734745,0.742526496594,0.934253975906,0.101493610848,0.345484542802,0.240676522234,0.372376526762,0.684349695352,0.210693600532,0.925309420953,0.364891557428,0.226840312604,0.786524545827,0.139863157893,0.808079505483,0.439502363707,0.717191317846,0.408746687439,0.238499761391,0.101504155668,0.38141533806,0.252560135777,PG-13,English,"USA, Hong Kong, Taiwan",Steve Oedekerk,2002,"Action, Comedy",81,"38,181",Steve Oedekerk, Fei Lung,4444.0,0.289378937894,1.60255047821,0.868453628807
Unknown,0.24676597792,0.415922351392,0.0279787273534,0.797283714575,0.25037112364,0.293543903959,0.185813153515,0.706732514363,0.287332042881,0.610025384457,0.905613957937,0.0151065527732,0.319484697681,0.0348148376018,0.317410211897,0.388303997783,0.845260351951,0.84036497526,0.489961971516,0.822268882328,0.798666173823,0.927392571773,0.649286943734,0.0460217403341,0.166330211201,0.18608779602,0.136057065978,0.0569516879408,0.745104540653,0.0397960979654,PG-13,"English, German, Turkish, Arabic","UK, Germany, France, USA",Jaume Collet-Serra,2011,"Action, Mystery, Thriller",113,"212,255",Liam Neeson, Diane Kruger,6267.0,0.209829264401,1.14137214137,0.858316196138
Vikramarkudu,0.208003660584,0.164661297583,0.170894776567,0.658266402397,0.238456349091,0.363533858544,0.311707846152,0.45276961326,0.439808428503,0.169455239558,0.856032676535,0.267425090492,0.72410687977,0.346510517101,0.201086641566,0.872829299748,0.564074847405,0.93603723958,0.750204740871,0.758657703079,0.553650749546,0.336120619198,0.736468314625,0.442853590975,0.369839383917,0.651508590439,0.781460903967,0.0175214865974,0.477174648131,0.0124233099525,N/A,Telugu,India,S.S. Rajamouli,2006,"Action, Comedy, Crime",140,"2,133",Ravi Teja, Anushka Shetty,9411.0,0.211454680693,1.31540565178,0.886964024992
Quarantine,0.314549115156,0.667408609941,0.044214066901,0.865037310909,0.373449093673,0.221433763585,0.3185798524,0.887150709071,0.20618845324,0.833517498817,0.980454130164,0.0263178791563,0.273246602217,0.0770892470459,0.24703834889,0.348648994011,0.82974995921,0.974844949194,0.321720381719,0.585887871236,0.851408244379,0.848324348733,0.483459617669,0.0380685241819,0.314851232734,0.167846889169,0.124665598853,0.0878549119275,0.803532446739,0.0405799147838,R,English,USA,John Erick Dowdle,2008,"Horror, Sci-Fi, Thriller",89,"58,029",Jennifer Carpenter, Steve Harris,8622.0,0.155880306193,1.33908948195,0.797639012586
