,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Rated,Language,Country,Director,Year,Genre,Runtime,imdbVotes,Actors1,Actors2,Words,DiversityW,Verb/Noun,Zipf
Ghost in a Teeny Bikini,0.58580709,0.786506539,0.343105508,0.5026628,0.408608899,0.308984545,0.189378313,0.474774305,0.234702727,0.684356309,0.944557502,0.211304085,0.644102289,0.265619526,0.409860763,0.965438901,0.368254797,0.93327485,0.871710913,0.568572739,0.537941837,0.244456893,0.978091075,0.514486728,0.784380163,0.462553345,0.116533009,0.20081014,0.324018794,0.418008745,NOT RATED,English,USA,Fred Olen Ray,2006,"Comedy, Musical",84,406,Christine Nguyen, Nicole Sheridan,3891,0.303006939,1.175615213,0.891233666
Daens,0.438908403,0.47525575,0.144874706,0.598838327,0.594352111,0.563896757,0.567443732,0.605687722,0.150987995,0.733750912,0.936359051,0.104321984,0.679760544,0.126021035,0.19843178,0.988325904,0.594102717,0.827178553,0.916621937,0.913018798,0.587118326,0.271308669,0.97675524,0.24727829,0.77464393,0.426579499,0.283165573,0.168862808,0.271196128,0.212749672,N/A,"Flemish, Dutch, French, Latin, Spanish","Belgium, France, Netherlands",Stijn Coninx,1992,"Biography, Drama, History",138,3084,Jan Decleir, Gí©rard Desarthe,8237,0.232001942,1.404441847,0.905176396
Echoes of War,0.377981073,0.662589443,0.044732175,0.840733309,0.434164391,0.279927364,0.265221639,0.751452925,0.227798549,0.705850493,0.974899389,0.036505398,0.770398683,0.093481294,0.304237183,0.929358847,0.837719749,0.92711472,0.872920105,0.787623083,0.718906041,0.768366764,0.777427661,0.173815024,0.685257293,0.201021198,0.14859201,0.079372777,0.910498788,0.035162261,R,English,USA,Kane Senes,2015,"Drama, Thriller, Western",100,1322,James Badge Dale, Ethan Embry,4316,0.231927711,1.109,0.846962496
Dagon,0.061431393,0.241884365,0.10208506,0.834649399,0.162059788,0.383393967,0.294750153,0.494287199,0.72614327,0.184413172,0.655522841,0.175040189,0.446789086,0.316243818,0.184905197,0.853602224,0.728188624,0.850309433,0.521111936,0.600220982,0.909785256,0.662317286,0.839137627,0.592154573,0.723871977,0.47734034,0.449943871,0.038205353,0.778033002,0.056060279,R,"English, Gallegan, Spanish",Spain,Stuart Gordon,2001,"Fantasy, Horror, Mystery",98,12883,Ezra Godden, Francisco Rabal,2790,0.328315412,1.823214286,0.860880662
Hotel Desire,0.558216313,0.700246444,0.167302347,0.602592327,0.477805226,0.539135632,0.392247733,0.69781149,0.274894272,0.753852461,0.855671617,0.186136499,0.816656395,0.296477926,0.356412901,0.83250403,0.692729257,0.812523962,0.837440346,0.724826925,0.630584026,0.45889649,0.734113584,0.201647722,0.55238117,0.286328456,0.356609437,0.316813906,0.702724135,0.294533894,N/A,German,Germany,Sergej Moya,2011,"Short, Drama, Romance",38,1473,Saralisa Volm, Clemens Schick,1461,0.418206708,1.674576271,0.890743948
Nostalgia,0.544084457,0.580338948,0.278494782,0.461059004,0.294436503,0.313729038,0.336255386,0.295909424,0.402371895,0.56444064,0.892383495,0.321540306,0.963815299,0.354114208,0.510952844,0.993048095,0.492083274,0.895973235,0.977579474,0.698148265,0.642295136,0.318964758,0.983610912,0.710127321,0.935105922,0.667408244,0.240218539,0.196105352,0.401609888,0.426217473,NOT RATED,"Italian, Russian","Italy, Soviet Union",Andrei Tarkovsky,1983,Drama,125,13425,Oleg Yankovskiy, Erland Josephson,3203,0.326256634,1.248908297,0.88813001
Kung Pow: Enter the Fist,0.21725539,0.666147549,0.364854266,0.797035067,0.146273957,0.045730202,0.037698564,0.372618103,0.219365735,0.742526497,0.934253976,0.101493611,0.345484543,0.240676522,0.372376527,0.684349695,0.210693601,0.925309421,0.364891557,0.226840313,0.786524546,0.139863158,0.808079505,0.439502364,0.717191318,0.408746687,0.238499761,0.101504156,0.381415338,0.252560136,PG-13,English,"USA, Hong Kong, Taiwan",Steve Oedekerk,2002,"Action, Comedy",81,38181,Steve Oedekerk, Fei Lung,4444,0.289378938,1.602550478,0.868453629
Unknown,0.246765978,0.415922351,0.027978727,0.797283715,0.250371124,0.293543904,0.185813154,0.706732514,0.287332043,0.610025384,0.905613958,0.015106553,0.319484698,0.034814838,0.317410212,0.388303998,0.845260352,0.840364975,0.489961972,0.822268882,0.798666174,0.927392572,0.649286944,0.04602174,0.166330211,0.186087796,0.136057066,0.056951688,0.745104541,0.039796098,PG-13,"English, German, Turkish, Arabic","UK, Germany, France, USA",Jaume Collet-Serra,2011,"Action, Mystery, Thriller",113,212255,Liam Neeson, Diane Kruger,6267,0.209829264,1.141372141,0.858316196
Vikramarkudu,0.208003661,0.164661298,0.170894777,0.658266402,0.238456349,0.363533859,0.311707846,0.452769613,0.439808429,0.16945524,0.856032677,0.26742509,0.72410688,0.346510517,0.201086642,0.8728293,0.564074847,0.93603724,0.750204741,0.758657703,0.55365075,0.336120619,0.736468315,0.442853591,0.369839384,0.65150859,0.781460904,0.017521487,0.477174648,0.01242331,N/A,Telugu,India,S.S. Rajamouli,2006,"Action, Comedy, Crime",140,2133,Ravi Teja, Anushka Shetty,9411,0.211454681,1.315405652,0.886964025
Quarantine,0.314549115,0.66740861,0.044214067,0.865037311,0.373449094,0.221433764,0.318579852,0.887150709,0.206188453,0.833517499,0.98045413,0.026317879,0.273246602,0.077089247,0.247038349,0.348648994,0.829749959,0.974844949,0.321720382,0.585887871,0.851408244,0.848324349,0.483459618,0.038068524,0.314851233,0.167846889,0.124665599,0.087854912,0.803532447,0.040579915,R,English,USA,John Erick Dowdle,2008,"Horror, Sci-Fi, Thriller",89,58029,Jennifer Carpenter, Steve Harris,8622,0.155880306,1.339089482,0.797639013
