,imdbRating
Ghost in a Teeny Bikini,4.3
Daens,7.7
Echoes of War,5.9
Dagon,6.3
Hotel Desire,5.7
Nostalgia,8.2
Kung Pow: Enter the Fist,6.2
Unknown,6.9
Vikramarkudu,7.7
Quarantine,6.0
Jason Bourne,6.9
Willy Wonka & the Chocolate Factory,7.8
Like Dandelion Dust,7.1
Damage,6.9
Hot Shots,5.7
The Standoff,6.9
Silent Partner,4.8
Will Penny,7.2
Jason X,4.4
Zid,4.4
Insomnia,7.2
Only Lovers Left Alive,7.3
United 93,7.6
Norway,5.5
Vikingdom,3.4
Private Detective: Two Plus Two Plus One,5.7
Fletch Lives,6.0
Kung Fu Panda,7.6
Vigilante Diaries,5.3
Eat the Rich,6.1
Universal Soldier: Day of Reckoning,5.0
Jaws: The Revenge,2.9
Jaws,8.0
Hotel Chevalier,7.3
Inside the Living Body,8.2
Insidious: Chapter 2,6.6
Jawbreaker,5.5
16 Wishes,5.5
The SpongeBob Movie: Sponge Out of Water,6.0
Not Another Teen Movie,5.7
Corner Gas: The Movie,6.7
Videodrome,7.3
Easy Virtue,6.7
Eating Out: All You Can Eat,6.0
Like Crazy,6.7
Eating Out 2: Sloppy Seconds,6.4
Video Games: The Movie,6.1
Angels Fall,5.8
Rigor Mortis,6.3
Wind Chill,5.9
Ring the Bell,6.4
Universal Soldier Regeneration: Behind the Lines,8.3
Megamind: The Button of Doom,6.5
Hot Lead and Cold Feet,6.1
Megamind,7.3
13B: Fear Has a New Address,7.0
Quantum Apocalypse,3.0
Private Benjamin,6.1
Ghost Bride,3.3
Open Grave,6.3
Ghost in the Shell Arise: Border 2 - Ghost Whisper,7.4
Northwest Passage,7.1
Silent Night,5.2
Signs,6.7
Zipper,5.7
Only the Valiant,6.6
Eaters,4.1
Lilo & Stitch 2: Stitch Has a Glitch,6.3
Silent Hill: Revelation 3D,5.0
Cotton Comes to Harlem,6.5
Hot Rod,6.7
Ghost,7.0
Meet the Parents,7.0
Private Pluto,6.8
Rigodon,5.6
Jason Goes to Hell: The Final Friday,4.3
Ecstasy,5.1
Cottage Country,5.6
Fletch,6.9
Cornered,6.7
Insidious: Chapter 3,6.1
Meet the Robinsons,6.9
Vidocq,6.5
1408,6.8
Rio,7.0
Hostile Waters,6.3
Hot Tub Time Machine,6.4
Zift,7.4
Angel of Death,5.0
Righteous Kill,6.0
Jatts in Golmaal,6.2
Qissa: The Tale of a Lonely Ghost,6.7
Inside the Walls of Folsom Prison,6.7
Willie Dynamite,6.3
Wildflower,7.3
Echelon Conspiracy,5.8
Flatliners,6.5
Open Range,7.5
Hotel Noir,5.9
Willow,7.3
16 Blocks,6.6
Brute Force,7.7
Private School,5.2
Viktor,3.7
Universal Soldier,6.0
Prisoners,8.1
Buck,7.6
Zindagi Na Milegi Dobara,8.1
The Stanford Prison Experiment,6.9
Rio 2,6.4
Silenced,8.0
The Spiral Staircase,7.6
Ghayal Once Again,6.8
16 Years of Alcohol,6.3
Lighthouse,4.9
Eddie,5.1
Lili,7.5
Jay and Silent Bob Strike Back,6.9
Meet the Feebles,6.7
Unlucky Stars,6.4
The Spirit of '45,7.1
Fleurs de sang,5.0
Hot Bot,3.4
"Silent Night, Deadly Night 5: The Toy Maker",4.2
Not Fade Away,6.0
Eat Pray Love,5.7
Not Cool,5.1
Northanger Abbey,7.3
Hot Fuzz,7.9
Bubble Boy,5.6
Quarantine 2: Terminal,5.3
Angel Face,7.3
Only God Forgives,5.7
View from the Top,5.2
Unicorn City,5.7
Cosmopolis,5.0
Meet the Fockers,6.3
Angels Sing,5.8
Private Parts,6.8
Private Number,4.7
Eat a Bowl of Tea,6.4
Jason Lives: Friday the 13th Part VI,5.9
Corporate,6.5
Eating Out,5.9
Winchester 73,6.0
