,imdbRating
Barbie and the Diamond Castle 2008.txt,6.1
Zanjeer 2013.txt,7.7
Electric Dreams 1984.txt,6.5
Far from the Madding Crowd 1967.txt,7.1
Barbie as the Island Princess 2007.txt,6.3
Under Suspicion 2000.txt,6.5
Playing It Cool 2014.txt,6.0
Confessions of a Teenage Drama Queen 2004.txt,4.6
Mandela Long Walk to Freedom 2013.txt,7.1
Maniac Cop 1988.txt,6.0
Under The Cherry Moon 1986.txt,4.9
Far from the Madding Crowd 1998.txt,7.1
Operation Petticoat 1959.txt,7.3
American Pie 1999.txt,7.0
Ghosts of Mars 2001.txt,4.9
Far from the Madding Crowd 2015.txt,7.1
Ghosts Of The Abyss 2004.txt,6.9
American Outlaws 2001.txt,6.0
Viva Zapata 1952.txt,7.5
Sniper 1993.txt,6.1
Yellow Sky 1948.txt,7.6
Election 1999.txt,7.3
Fantastic Voyage 1966.txt,6.8
Lara Croft Tomb Raider 2001.txt,5.5
In the Heat of the Night 1967.txt,8.0
ZPG 1972.txt,6.2
Revenge of the Green Dragons 2014.txt,5.3
Snow Buddies 2008.txt,5.4
Gifted Hands The Ben Carson Story 2009.txt,7.8
Congorama 2006.txt,7.2
Date with an Angel 1987.txt,5.8
Darkman 1990.txt,6.4
Congo 1995.txt,5.0
Open Windows 2014.txt,5.2
American Pie 2 2001.txt,6.4
American Soldiers 2005.txt,3.1
Jab Tak Hai Jaan 2012.txt,6.9
Mandingo 1975.txt,6.2
Zanjeer 1973.txt,7.7
Far from Heaven 2002.txt,7.4
Undercurrent 1946.txt,6.6
Year of the Dragon 1985.txt,6.9
Kiss of the Spider Woman 1985.txt,7.4
Z Storm 2014.txt,5.2
In Our Time 1944.txt,6.6
Revolver 2005.txt,6.5
Under the Bed 2012.txt,4.6
Quick Gun Murugun 2009.txt,6.0
Queen of Earth 2015.txt,6.4
The Amazing Dr Clitterhouse 1938.txt,7.0
White of the Eye 1987.txt,6.4
The Angriest Man in Brooklyn 2014.txt,5.7
The Angels Share 2012.txt,7.0
Manhattan Night 2016.txt,6.2
Plunder of the Sun 1953.txt,6.5
Vitus 2006.txt,7.7
Darkman II The Return of Durant 1995.txt,5.0
Open Season 2 2008.txt,5.7
Querida voy a comprar cigarrillos y vuelvo 2011.txt,6.8
Yella 2007.txt,6.7
The Amazing Wizard of Paws 2015.txt,4.3
Fantastic Four 2005.txt,5.7
Fantastic Four 2015.txt,5.7
Sniper 3 2004.txt,5.2
The Adventures of Pluto Nash 2002.txt,3.8
White Oleander 2002.txt,7.2
Revenge of the Nerds III The Next Generation 1992.txt,3.7
Lantana 2001.txt,7.4
Yeh Jawaani Hai Deewani 2013.txt,6.9
Consenting Adults 1992.txt,5.7
In the Electric Mist 2009.txt,6.1
American Ninja 4  The Annihilation 1990.txt,3.7
Manderlay 2005.txt,7.4
Under The Tuscan Sun 2003.txt,6.7
Operation Dumbo Drop 1995.txt,4.9
Lap Dance 2014.txt,5.6
The Age of Adaline 2015.txt,7.2
Confetti 2006.txt,5.8
Queen The 2006.txt,6.7
Nova Zembla 2011.txt,5.8
American Reunion 2012.txt,6.7
White Lightning 1973.txt,6.4
Fantastic Four Rise of the Silver Surfer 2007.txt,5.7
Notorious 2009.txt,8.0
Barbie In Rock n Royals 2015.txt,5.7
In Search of a Midnight Kiss 2007.txt,7.3
Conquest of the Planet of the Apes 1972.txt,6.1
The Angry Birds Movie 2016.txt,6.3
Snakes On A Plane 2006.txt,5.6
In The Land Of Blood And Honey 2011.txt,4.3
Year One 2009.txt,4.9
The Amityville Haunting 2011.txt,2.8
In Search of the Castaways 1962.txt,6.7
Plunder Road 1957.txt,6.8
Now and Then 1995.txt,6.7
Viva Las Vegas 1964.txt,6.4
Sniper Ghost Shooter 2016.txt,5.3
Jaatishwar 2014.txt,8.1
In Secret 2013.txt,6.1
Maniac 1980.txt,6.1
Yelling to the Sky 2011.txt,5.9
American Psycho II All American Girl 2002.txt,3.9
Darkroom 2013.txt,3.7
Kiss Me Deadly 1955.txt,7.7
Underbelly Files Tell Them Lucifer Was Here 2011.txt,6.8
Underclassman 2005.txt,4.1
Snow Day 2000.txt,4.9
The Adventures of Robin Hood 1938.txt,8.0
Sniper 2 2002.txt,5.2
Kismet 1955.txt,6.4
Under the Shadow 2016.txt,7.5
Snitch 2013.txt,6.5
Revenge of the Bridesmaids 2010.txt,6.1
Zappa 1983.txt,7.4
White Noise 2 The Light 2007.txt,5.7
In the Heart of the Sea 2015.txt,6.9
Please Kill Mr Know It All 2012.txt,4.6
Queen Christina 1933.txt,7.9
Manhattan Murder Mystery 1993.txt,7.4
Operation Amsterdam 1959.txt,6.4
Gigantic 2008.txt,6.1
Gift 2014.txt,7.4
Revenge of the Ninja 1983.txt,6.1
Kiss of the Damned 2012.txt,5.6
White Reindeer 2013.txt,5.7
Viva Zapatero 2005.txt,7.2
Fantozzi Alla Riscossa 1990.txt,5.8
Darkness Falls 2003.txt,4.9
Sniper Legacy 2014.txt,5.3
Open Water 2003.txt,5.7
Confidence 2003.txt,6.7
In The French Style 1963.txt,6.7
White Sands 1992.txt,6.0
American Psycho 2000.txt,7.6
Revenge for Jolly 2012.txt,4.6
American Nomads 2011.txt,7.8
White Nights 1985.txt,6.6
Barbie and the Secret Door 2014.txt,5.7
Revenge of the Electric Car 2011.txt,7.1
Operation Daybreak 1975.txt,7.1
Zameer 2005.txt,6.1
Under the Sea 3D 2009.txt,7.6
Revolutionary Road 2008.txt,7.3
Kisna The Warrior Poet 2005.txt,4.6
Electricity 2014.txt,6.0
Mancora 2008.txt,6.6
Date and Switch 2014.txt,5.8
Revenge Of The Pink Panther 1978.txt,6.7
Jack and the Beanstalk 2009.txt,6.1
Querelle 1982.txt,6.8
Pleasure or Pain 2013.txt,4.5
The Alchemist Cookbook 2016.txt,4.5
Sneakers 1992.txt,7.1
Las Acacias 2011.txt,6.9
Undercover Brother 2002.txt,5.8
Jack And Jill vs The World 2008.txt,5.6
Notorious 1946.txt,8.0
Revenge of the Nerds 1984.txt,6.6
