,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Words,DiversityW,Verb/Noun,Year,Runtime
Ca$h,0.33851544235,0.465882034837,0.0121584565899,0.827339079492,0.470921759921,0.602103367397,0.384988935404,0.844048231469,0.271136874902,0.665784410378,0.912504834435,0.00411045912968,0.161257848191,0.014196114622,0.247985293344,0.447524817979,0.934668953282,0.677819943087,0.391635815356,0.883684743905,0.882756444547,0.923452601058,0.854027452727,0.0179307282394,0.20258495907,0.0740087737825,0.0577128882568,0.12539768478,0.766748379229,0.124525419097,6534.0,0.230027548209,1.39407086045,2010,108
Caddyshack,0.31190771037,0.396498590104,0.0692364383863,0.747628168101,0.413751193385,0.525723527265,0.300637140891,0.617848128467,0.382619297158,0.446050048591,0.83944474265,0.0295054661765,0.365846760549,0.0645771747538,0.628199607283,0.624474604607,0.852345525455,0.607157013258,0.571777078634,0.812179772614,0.731465591685,0.871833133477,0.859826816546,0.163823119666,0.287372413576,0.192016748509,0.255455943657,0.225814752152,0.627220351071,0.173914908089,7420.0,0.247978436658,1.42034548944,1980,98
Cabin Fever 3: Patient Zero,0.278404969959,0.52812881308,0.0542848996801,0.796202374506,0.405482770966,0.363285419087,0.270326373851,0.781716940651,0.339729293961,0.491882774833,0.93422319874,0.036614860611,0.350955389782,0.100136360206,0.469347057283,0.538767211629,0.83929803471,0.948549206502,0.535340988578,0.697452742848,0.849993636886,0.864836882307,0.806228542806,0.137538867883,0.352053346039,0.284221492533,0.248433050948,0.0893016956617,0.710218302046,0.0855045004318,5958.0,0.228096676737,1.39197530864,2014,91
Caged,0.363512254419,0.330735782084,0.0872853514946,0.631391402675,0.461249879527,0.533150752827,0.321547458623,0.612708203472,0.274330774945,0.436356875696,0.920678024515,0.121976341401,0.675127996975,0.193395097362,0.599948530108,0.829598628625,0.772509154444,0.775222792966,0.778419659129,0.838722322362,0.459988806127,0.654595020736,0.773570721004,0.252367248581,0.330087706113,0.36858204156,0.496202855425,0.059728314405,0.58409924878,0.104476995848,7991.0,0.233262420223,1.36530491415,1950,96
Cairo Time,0.654727936845,0.894156794378,0.101959271709,0.482599989566,0.4495031399,0.227817354089,0.451190538812,0.670659780362,0.182360881226,0.728898711574,0.922871472658,0.292849867155,0.869770401816,0.383125729207,0.316597275734,0.970139560397,0.860719869819,0.93869082991,0.946304591897,0.562791944069,0.758286005083,0.629703352776,0.808172892154,0.135799579716,0.816448545624,0.288360065475,0.332486166648,0.453720859543,0.75324423246,0.284372863269,4416.0,0.247735507246,1.52370916754,2009,90
Caddyshack II,0.320206286071,0.53620018898,0.0383145656469,0.724237824905,0.451642681952,0.4754978549,0.360117494237,0.683743489989,0.43824651025,0.482061485617,0.893996209671,0.0294164097086,0.387983568441,0.0649935949149,0.574864552781,0.671093025737,0.878373813499,0.665327798235,0.663210820135,0.816117940988,0.847893727939,0.921565514511,0.890367179167,0.188121494712,0.439567185537,0.174214074991,0.17024349617,0.279788422328,0.72481800182,0.235768801891,8799.0,0.223661779748,1.41375545852,1988,98
Cable Guy,0.425232442182,0.548073540963,0.0673073352205,0.661874608637,0.354051643841,0.35652487295,0.19976164647,0.693822616376,0.303048105208,0.504816165743,0.924015765176,0.0635015830113,0.481062781253,0.113890136829,0.573639273959,0.633425429987,0.834978887467,0.913289126896,0.67920648278,0.762141281486,0.61183638188,0.863719518058,0.698002713261,0.112365516569,0.192982405362,0.2801264614,0.236749505126,0.130971919352,0.738347472012,0.0957720070824,5773.0,0.258444482938,1.25765496639,1996,96
Caffeine,0.323104975062,0.45951880267,0.185026039033,0.362178083501,0.200140552911,0.174643207431,0.117989360512,0.362374896793,0.302055944179,0.375607262286,0.870455909066,0.193642045376,0.623176077103,0.281839211001,0.78825665312,0.751120811028,0.593835640956,0.945084016933,0.744446032872,0.695403881316,0.497861710453,0.774721538859,0.747067085168,0.102974376365,0.231493017169,0.542527575551,0.369114662423,0.0606698609636,0.48717526721,0.243401558839,10105.0,0.169915883226,1.07224334601,2006,92
Caligula,0.405202109649,0.516833857184,0.262214725365,0.664050253104,0.371641583295,0.312723328185,0.172473507311,0.50924769253,0.220830773832,0.648564038296,0.879468184726,0.233238819405,0.777785626148,0.180379656103,0.318986179632,0.991258207513,0.47802704728,0.915901556139,0.888602406355,0.671585150218,0.464097083279,0.0983135273306,0.985903353912,0.622005522657,0.938323282864,0.507156466762,0.315399001042,0.163387956343,0.377238116576,0.331392213979,5591.0,0.232695403327,1.6808318264,1979,156
Calendar Girls,0.501592099353,0.718386449043,0.0765144909001,0.516118535347,0.509913012954,0.476227597927,0.634170141785,0.624056697005,0.295845836601,0.594216624038,0.854291463755,0.211331761281,0.794027129403,0.211092047951,0.274582814223,0.905873277706,0.938273297765,0.707421544662,0.878721212181,0.770325368404,0.697290752242,0.857948908412,0.744717173724,0.331312825383,0.625643465514,0.237314165554,0.32268217828,0.535766505673,0.818103720356,0.303607279712,11244.0,0.193258626823,1.62751971954,2003,108
